global _id,id,frame,frame_elements,definition,link,lus
737,59,Grasp,Cognizer Faculty Phenomenon Category Completeness Concessive Evidence Manner Refrence_point Time,"A Cognizer possesses knowledge about the workings, significance, or meaning of an idea or object, which we call Phenomenon, and is able to make predictions about the behavior or occurrence of the Phenomenon. The Phenomenon may be incorporated into the wider knowledge structure via categorization, which can be indicated by the mention of a Category. The Cognizer may possess knowledge only in part and this may be expressed in a Completeness expression. The Cognizer may also be realized as a cognitive-emotional Faculty that is conceived of as having understanding. Note that the knowledge may have been acquired either from instruction or from the Cognizer's own experimentation, observation, or mental operations.  Words in this frame are frequently used metonymically to denote the transition into the state described above.  I figured this out last week and now I really understand it.  My father failed to comprehend that his explanations were based as much upon faith as mine  The draughtsman must fully comprehend what he is drawing  Nobody seems to have explained this to her, but finally she understands DNI  I realized I had not properly understood my own needs  The mind is often unable to comprehend the significance of what it perceives.  Our sensations are in some sense to be understood in terms of a set of stimulation levels (spiking frequencies) in the appropriate sensory pathways. CNI",,"förstå.v, se.v, fatta.v, begripa.v, sese utse om.v, obegriplig.a, sese till.v, fattafatta eld.v"
736,60,Graph_shape,Data Graph Shape Descriptor Label Location,,,diagram.n
740,61,Grinding,Grinder Grinding_cause Undergoer Duration Goal Instrument Locus Manner Means Place Purpose Result Time,In this frame a Grinder or Grinding_cause causes an Undergoer to be broken into smaller pieces. A Result or Goal can be present.Bill ground the coffee beans into a fine powder.,,"smula.v, tugga.v"
1 548,62,Translating,Cognizer Content Source_representation Source_symbol Target_representation Target_symbol Circumstances Equivalence Manner Means Medium Place Purpose Time,"A Cognizer produces a Target_symbol which represents, in the Target_representation format, a Content that pre-exists in the form of a Source_symbol in a Source_representation format.   This word is sometimes translated as ` girl '. CNI  They all wore symbolic black clothes over bright yellow T-shirts and all spoke in Welsh, their statements being translated into English afterwards. CNI  His texts were translated from French into Scots by Carl Gronau.  Perhaps when Irish monks spoke in Latin about lionn, meaning ale, they translated the word literally from Irish into Latin as biber, 'drink'.  Each of the ten Greek nouns below can be accurately translated by using just one English word. CNI.",,"tolkning.n, tolka.v, översättning.n"
1 546,63,Transitive_action,Agent Patient Manner Means Place Time Depictive Result,"This frame characterizes, at a very abstract level, an Agent or Cause affecting a Patient. This frame is inherited by many lower-level frames. ",,
1 542,64,Transfer_scenario,Donor Recipient Theme Transferors,"In this scenario, the Theme begins in the possession of the Donor and ends up in the possession of the Recipient. Alternatively, these two participants may be jointly construed as Transferors.  ",,
709,65,Get_a_job,Employee Employer Position Task Compensation Contract_basis Manner Means Place Purpose Time,"A new Employee obtains a Position with an Employer, with which there are certain Tasks associated; in exchange for the performance of these Tasks, the Employee receives Compensation from the Employer.",,
1 556,66,Traversing,Area Direction Distance Goal Path Path_shape Source Theme Circumstances Consecutive Containing_event Coordinated_event Cotheme Degree Depictive Duration Endpoints Event_description Explanation Frequency Iteration Manner Means Period_of_iterations Place Purpose Re_encoding Reciprocation Result Speed Time Vehicle,A Theme changes location with respect to a salient Path location.,,"korsa.v, passera.v, genomgå.v, korsning.n, kretsa.v"
1 555,67,Travel,Area Direction Goal Traveler Mode_of_transportation Path Source Baggage Co_participant Depictive Descriptor Distance Duration Frequency Iterations Manner Means Period_of_Iterations Place Purpose Reason Result Speed Time Travel_means,"In this frame a Traveler goes on a journey, an activity, generally planned in advance, in which the Traveler moves from a Source location to a Goal along a Path or within an Area. The journey can be accompanied by Co_participants and Baggage. The Duration or Distance of the journey, both generally long, may also be described as may be the Mode_of_transportation. Words in this frame emphasize the whole process of getting from one place to another, rather than profiling merely the beginning or the end of the journey. Ellen journeyed to Europe with five suitcases. Samantha journeyed 2500 miles with her family by sea to China.The Osbournes took a trip from Beverly Hills to London on the Concorde.",,"resa.v, pendla.v, resaresa sig.v, resa.n, resenär.n, återresa.n, pilgrim.n, sväng.n"
1 553,68,Trap,Deceiver Trap Victim Descriptor,,,"fälla.n, snara.n"
1 552,69,Transportation_status,Rider Vehicle,,,"ombord.adv, till sjöss:2.n"
1 561,70,Trust,Cognizer Expressor Information Source Content Degree Manner Topic,A Cognizer thinks that the Information given by a particular Source is correct. The specific Content or Topic of the Information may also be described.,,lita.v
1 559,71,Trial,Case Charges Court Defendant Defense Judge Jury Prosecution Manner Place Time,"A trial is a process conducted in a Court before a Judge and (usually) a Jury in which the participants meet in order to decide a Case. The Prosecution attempts to prove that the Defendant is guilty of the Charges and the Defense tries to prove that the Defendant is innocent.  Trials have a rich schematic structure which is only partially represented here. The Trial frame is the part of the Criminal Process frame that occurs after a crime, Arrest of a suspect, Arraignment, jury selection, etc. and before Sentencing and Punishment or release. The Trial is made up of court appearances. The beginning of the Trial generally involves Opening Arguments, in which the Prosecution and the Defense present their respective points of view. Then during the course of the Trial, both sides present evidence, some of which is provided by witnesses with testimony, and this is then drawn upon as support for their arguments. Following the presentation of evidence, testimony, and arguments, generally culminating in Closing Arguments for each side, the Jury (if present) deliberates and either comes to no sufficient consensus or produces a Verdict.",,rättegång.n
1 558,72,Trendiness,Behavior Evaluee Circumstances Degree Judge Place Time,"A Behavior, attributed to an Evaluee, conforms with or is heavily influenced by a popular trend or practice, often in the realm of fashion, design, though extending social and interactional behavior in general. Trendiness differs from Popularity in adding a factor of aesthetic or other judgment to behaviors and individuals, and judging these with respect to social behavior; Popularity is about amount of acceptability or utilization based on general (often non-aesthetic) desirability.  Wearing flowered brocaded silks was fashionable in the first few years of the decade.",,"trend.n, mode.n"
1 557,73,Treating_and_mistreating,Affected_Party Agent Manner Circumstances Degree Domain Means Place Reason Standard Time,,,
1 569,74,Type,Category Subtype Item_Property Type_Property,"This frame has to do with nouns denoting types of entities. The Subtype refers to a collection of members of a more general Category which have certain defining characteristics; alternatively, the Subtype refers only to the type itself, i.e. a more restrictive set of characteristics than those of the more general Category. The properties of the items that are included in the collection may be specified by the Item_Property. Sometimes the Subtypes themselves are described by some Type_Property.  I don't like this newfangled kind of fish. Kleo isn't our sort of people. He argued against the formalist type of analysis of art. I think that she was referring to the other type. DNI",,"form.n, formi form:2.n, typ.n, formi form:9.n, formi form:16.n, sort.n, art.n, formi form:23.n, ras.n, släkte.n, formi form:15.n"
1 568,75,Turning_out,State_of_affairs Time,A State_of_affairs turns out to be true in someone's knowledge of the world. This may be recognized with evidence or in certain circumstances. The cognizer whose beliefs are affected is not expressed.  Hybrid grass may prove to be a valuable fuel source.,,
1 563,76,Trying_out,Entity Evaluator Experience Purpose Manner Means Place Time,"An Evaluator participates in an Experience (or metonymically, a salient Entity of the Experience), often for the first time, in order to form an opinion about its quality. The aspect of quality that is being judged is often implicit but may be expressed as the Purpose of the Evaluator's participation.   Have you tried my latest get-rich-quick scheme? INI Don tried out the bike to see if it was the right size.",,"prova.v, prövning.n, testa.v"
1 562,77,Try_defendant,Charges Defendant Governing_authority Judge Jury Court Manner Place Time,A Defendant is tried by a Jury or Judge in a Court for Charges. This frame perspectivalizes the general Trial frame.,,
43,78,Aesthetics,Attribute Degree Entity Circumstances Judge Place Time,An Entity is judged to be sensually pleasing or intellectually interesting to a (generally implicit) Judge.   . We saw this beautiful boat with the red sails several times We camped here on the beach and had an absolutely lovely early morning walk through farm fields,,"smaklös.a, ful.a, vacker.a, vackervackert.adv, ståtlig.a"
