FrameId,FrameName,SpanishLexicalUnits,PortugueseLexicalUnits,FrenchLexicalUnits,EnglishLexicalUnits,FrameElements,Definition,LinkToBFN,Link,MatchEvaluation,FrameRelation
675,Accomplishment,,"alcançar.v
conquista.n
o.adv
realização.n","arriver.v
réalisation.n","accomplish.v
accomplishment.n
achieve.v
achievement.n
bring about.v
effect.v","Agent
Goal","After a period in which the Agent has been working on a Goal, the Agent manages to attain it. The Goal may be a desired state, or be conceptualized as an event.

Jeremey obediently accomplished this task.

In response, the Prime Minister has simply cited his free-market [accomplishments|Target].",Accomplishment,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/675,ExactMatch,
144,Accoutrements,,"aliança.n
bolsa.n
brinco.n
broche.n
carteira.n
cinto.n
colar.n
cordão.n
coroa.n
fita.n
luva.n
máscara.n
óculos.n
peruca.n",,"accoutrement.n
anklet.n
armband.n
armlet.n
badge.n
balaclava.n
bandanna.n
bangle.n
belt.n
beret.n
biretta.n
boater.n
bonnet.n
bowler.n
bracelet.n
brooch.n
cap.n
chain.n
choker.n
circlet.n
coif.n
coronet.n
crown.n
cufflink.n
diadem.n
earring.n
fez.n
gas mask.n
glasses.n
goggles.n
gorget.n
greaves.n
hairband.n
hairgrip.n
hairnet.n
hairpiece.n
hairpin.n
hairslide.n
hat-pin.n
hat.n
hauberk.n
headband.n
headdress.n
headpiece.n
helm.n
helmet.n
jewellery.n
locket.n
mantle.n
mask.n
medal.n
medallion.n
mitre.n
necklace.n
nightcap.n
panama.n
pendant.n
regalia.n
ribbon.n
ring.n
sash.n
shako.n
skullcap.n
snood.n
sombrero.n
spectacles.n
sporran.n
tiara.n
top-hat.n
toupee.n
trilby.n
trinket.n
turban.n
veil.n
watch.n
wig.n
yarmulkah.n",Accoutrement,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. She wore a black velvet hat on her head.",Accoutrements,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/144,ExactMatch,
845,Accuracy,,"exatamente.adv
exato.a
icônico.a
precisão.n","même.adv
réel.a","accuracy.n
accurate.a
accurately.adv
exact.a
inaccuracy.n
inaccurate.a
inaccurately.adv
off.prep
on.prep
precise.a
precision.n
true.a","Agent
Degree
Deviation
Instrument
Means","An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time).

The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event.

The Longview Rangefinder is accurate to within one foot per hundred yards .
His estimate was off by an order of magnitude .

The fork truck operator must be fairly accurate in his aim.

The precision of the daily measurements is dependent on a number of factors.",Accuracy,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/845,ExactMatch,
372,Achieving_first,"descubridor.n
descubrimiento.n
descubrir.v
inventar.v
invento(entity).n
invento(event).n
inventor.n",mãe.n,"innovation.n
inventer.v","coin.v
coinage.n
corny.a
discover.v
discoverer.n
discovery.n
find.v
innovate.v
innovation.n
innovator.n
invent.v
invention artifact.n
invention.n
inventor.n
original.a
originate.v
originator.n
pioneer.n
pioneer.v
pioneering.a","Cognizer
New_idea","A Cognizer introduces a New_idea into society.

It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.",Achieving_first,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/372,ExactMatch,
612,Active_substance,,"acidar.v
ácido.a
agente.a
antimicrobiano.a
aplicador.a
conservante.a
da.adv
dar.v
de.adv
do.c
inibidor.a
livrar.v
livre.a
livremente.adv",,"active.a
agent.n
bioactive.a
causative agent.n
incapacitant.n
irritant.n","Effect
Substance",A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given.,Active_substance,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/612,ExactMatch,
113,Activity,,"atividade.n
brincadeira.n
brincar.v
divertimento.n
guerrinha.n
jogar.v
meditar.v
pique-esconde.n
postar.v
sensação.n",,"activity.n
interact.v",Agent,"This is an abstract frame for durative activities, in which the Agent enters an ongoing state of the Activity, remains in this state for some Duration of Time, and leaves this state either by finishing or by stopping. The Agent's Activity should be intentional.

This frame is intended mostly for the inheritance of common FEs, and to provide the frame structure for the beginning, ongoing, finish, or stop stage of an Activity, each of which constitutes a subframe of this frame. This frame should be compared to the Process frame.",Activity,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/113,ExactMatch,
152,Activity_abandoned_state,,,,,"Activity
Agent",An Agent is in an unfinished part of an activity.,Activity_abandoned_state,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/152,ExactMatch,
164,Activity_done_state,,,,"done.a
finished.a
through.a","Activity
Agent","An Agent has completed an Activity.

Finally I am done cleaning the apartment.

Construction on the new Safeway was done by October.",Activity_done_state,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/164,ExactMatch,
149,Activity_finish,,"abdicar.v
acabar.v
concluir.v
desistir.v
formar.v
passar.v",,"complete.v
completion.n
conclude.v
finish.v
graduate.v
tie up.v
wrap up.v","Activity
Agent","An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity.",Activity_finish,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/149,ExactMatch,
1496,Activity_learning,,"aprender.v
aprendizado.n
aprendizagem.n
autoatividade.n
clube.n
compreensão.n
entender.v
protagonismo.n
socializar.v",,,"Skill
Student
Subject
Subjects
Teacher",,?,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/1496,NoMatch,
148,Activity_ongoing,,"continuar.v
decorrer.v
estar.v
ficar.v
manutenção.n
passar.v
prosseguir.v
transpassar.v
viver.v",,"carry on.v
continue.v
keep on.v
keep up.v
keep.v
maintain.v
maintenance.n
proceed.v","Activity
Agent
Duration",An Agent is performing the portion of an Activity in which there is dynamic stability.,Activity_ongoing,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/148,ExactMatch,
151,Activity_pause,,"cápsula.n
capsular.a
cortar.v
encerrar.v
imobilizar.v
parar.v
pausa.n
pausar.v
reter.v",,"adjourn.v
freeze.n
freeze.v
moratorium.n
pause.n
suspend.v
take break.v","Activity
Agent",An Agent pauses in the course of an Activity.,Activity_pause,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/151,ExactMatch,
163,Activity_paused_state,,,,,"Activity
Agent","An Agent remains in a particular stage of an Activity, without progressing in the activity.",Activity_paused_state,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/163,ExactMatch,
154,Activity_prepare,,"coordenar.v
estruturar.v
organizar.v
preparado.a
preparar.v
preparo.n",préparer.v,"compose.v
fix.v
gear up.v
get ready.v
preparation.n
prepare.v
rally.v
ready.v
set up.v","Activity
Agent","An Agent prepares for an Activity.

The troops were preparing themselves for the mission.

The boats are getting ready to leave the pier.",Activity_prepare,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/154,ExactMatch,
153,Activity_ready_state,,"disponível.a
preparado.a
preparo.n
prontamente.adv
pronto.a",prêt.a,"free.a
prepared.a
ready.a
set.a","Activity
Protagonist
Salient_entity","The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied. In many cases, the Protagonist is an intentional agent, but there are other uses in which the agent is deprofiled, and the Protagonist is an entity which is essential to the Activity.
Alternatively, the Activity may be indicated by a Salient_entity which stands in for the Activity. This Salient_entity may also be an intentional agent, but need not be.

She|pro 's not ready ! DNI|act.
He|pro 's ready to talk|act , I think .
Is the UK government|pro ready to do a u-turn on passport-ID cards|act ?
Check and see if Sal|pro is ready for the bathtub|sal .
The world|pro is finally prepared for him|sal !",Activity_ready_state,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/153,ExactMatch,
557,Activity_resume,,,retourner.v,"renew.v
restart.v
resume.v","Activity
Agent","An Agent resumes participation in an Activity. Progress on the Activity is retained from before the interruption.

Normal Service|act Will Be Resumed Shortly. CNI|age

The Kinshasa government|age has resumed supporting Rwandan rebels|act.",Activity_resume,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/557,ExactMatch,
134,Activity_start,,"cair.v
começar.v
desencadear.v
entrar.v
estrear.v
gerar.v
inauguração.n
inaugurar.v
iniciado.a
iniciante.n
iniciar.v
instituir.v
passar.v
principiar.v","commencer.v
s engouffrer.v","begin.v
beginner.n
commence.v
enter.v
get started.v
initiate.v
launch (into).v
neophyte.n
open.v
set about.v
start.v
strike up.v
swing (into).v
take up.v","Activity
Agent","An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved.

At the same time, city-states began to grow in influence on the southern Greek mainland.

Naturally, I started crying to get out of work.",Activity_start,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/134,ExactMatch,
150,Activity_stop,,"chegar.v
deixar.v
descontinuar.v
parar.v","arrêter.v
arrêter.v","abandon.v
cease.v
discontinue.v
halt.v
quit.v
stop.v
terminate.v
termination.n",Agent,"An Agent ceases an Activity without completing it.

After the lawsuit, the company stopped producing the once very profitable toy.

The rugby club terminated negotiations with Argyll in September 1988.",Activity_stop,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/150,ExactMatch,
1507,Activity_teaching,,"alfabetizar.v
educar.v
ensinamento.n
ensinar.v
ensino.n
instigar.v
lecionar.v
orientação.n
sequência.n
sistematização.n
sistematizar.v
tutoria.n",,,"Activity
Students
Subject
Teacher
Topic",,?,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/1507,NoMatch,
708,Actually_occurring_entity,,prática.a,,"actual.a
true.a","Instance
Type","Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world. Of course, the real-world Instance of the expected Type may also be presented as not occurring, as in the last example below.


Actual results may vary.
ACTUAL results|ins may vary.

Also present is the actual policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.
Also present is the ACTUAL policeman|ins, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.

Of course, an actual car with all these capabilities simply did not exist.
Of course, an ACTUAL car|ins with all these capabilities simply did not exist.",Actually_occurring_entity,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/708,ExactMatch,
191,Addiction,,"drogado.a
drogado.n
usar.v
usuário.n
viciado.a
viciado.n
viciar.v",,"addict.n
addicted.a
addiction.n
alcoholic.n
alcoholism.n
compulsive.a
fiend.n
habit.n
hooked.a
junkie.n","Addict
Addictant","This frame concerns an Addict's physiological or psychological compulsive dependence on an Addictant, the substance or behavior to which the Addict is addicted.

Although she was never a big fan of drugs, she became hooked on that designer drug instantly.

He is a cocaine addict.

There are some cocaine [addicts|Target] living in the house across the street.",Addiction,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/191,ExactMatch,
436,Adding_up,,"acrescentar.v
adicionar.v
mais.adv
somar.v",,"add up.v
add.v
tally.v
total.v","Cognizer
Numbers
Result","A Cognizer computes a Result on the basis of input Numbers by addition.


Add up your savings.
This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases.
When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds
Chaperones tallied the number of tickets sold at the school dance at more than 1000.",Adding_up,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/436,ExactMatch,
720,Adducing,,,,"adduce.v
cite.v
name.v
point.v","Medium
Role
Speaker
Specified_entity","A Speaker mentions a Specified_entity filling a Role, thereby providing information which supports a point of the Speaker.

He cites the chief original observations adduced by Darwin as evidence for his theory.

Mexico cited the drought, now in its eighth year, to avoid releasing Texas' full share of 110 billion gallons per year from the reservoirs. DNI

An objector will immediately point to the lack of stability of this simple, some will say simple-minded, hierarchy. DNI

She expected a restaurant as their meeting place, but instead the lady named the hotel where she was staying.DNI

Where is the second-order neural pattern located? Damasio already pointed to the cingulate cortex in his 1994 book.",Adducing,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/720,ExactMatch,
1192,Adjacency,,"adjacência.n
adjacente.a
contiguidade.n
contíguo.a
estar junto.v
juntar.v
limitante.a
limitar.v
vizinho.n",,"abut.v
adjacency.n
adjacent.a
adjoin.v
adjoining.a
border.v
bordering.a
contiguity.n
contiguous.a
neighbor.n
neighbor.v
neighboring.a
next to.prep","Figure
Ground","A Figure is located adjacent to a Ground. This is equivalent to the Figure and Ground either constituting or being associated with a zone, with each zone in contact with the zone of the other.

The two houses were adjacent , so she bought them together .
The bedroom adjoining hers was much smaller .
The park borders a very upscale neighborhood .
While you solder , make sure the neighboring pins don't get overheated . DNI

This frame is intended to cover productive metaphor cases such as those found in """"adjacent web pages""""--referring to pages that metaphorically """"share a border"""" by virtue of sharing a hyperlink, as well as many additional cases of entities which are cognitively associated in other ways. There are a number of less productive metaphors that are also intended to be included in this frame, e.g. """"behavior bordering on lunacy"""", """"cleanliness is next to godliness"""", despite the fact that conventionally we do not find """"adjacent to lunacy"""", etc. Though these expressions sound creative, they are immediately understandable and contextually unobjectionable.",Adjacency,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/1192,ExactMatch,
630,Adjusting,,"adaptar.v
adequar.v
ajustado.a
ajustar.v",,"adjust.v
adjustment.n
calibrate.v
calibration.n
tweak.n
tweak.v","Agent
Feature
Part","An Agent changes a Part of a complex entity with regard to some Feature in order to achieve some Imposed_purpose affected by the Feature. The complex entity is often a device or mechanism, but may also be an abstract entity such as the economy. Also, the full entity may be used in place of the Part.

I need to adjust the thermostat to around 80 degrees when she visits.
It didn't work the first time , so she had to tweak the oven a little .
Greenspan expressed confidence that the current calibration of interest rates was not an overcompensation .",Adjusting,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/630,ExactMatch,
711,Adopt_selection,,"adoção.n
adotado.a
adotar.v
assumir.v
seguir.v",adopter.v,"adopt.v
assume.v
embrace.v","Agent
Attribute
Value","An Agent has an Attribute which can take different Values, and the Agent selects and then begins to use some Value for that Attribute. The Attribute includes both physical (shape, color) and abstract (belief, practice) types. For some LUs in this frame, it is common for only the Value to be expressed, with the Attribute implicit. (Often this implicit attribute can be given second-layer expression on the Value. Note that such second-layer annotation should be assumed in the first two examples below.)

They|age scoff at their opponents and assume an air of superior knowledge|val
There are times when teachers|age should adopt a neutral stance|val in discussion of morally controversial issues.
A person does not have to make the statement """"I|age adopt this|val as my position|att"""" to do so.",Adopt_selection,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/711,ExactMatch,
504,Aesthetics,"belleza.n
bonito.a
lindo.a","amável.a
barroco.a
beleza.n
belo.a
bonito.a
bucólico.a
elegante.a
esportivo.a
estética.n
esteticamente.adv
estiloso.a
exótico.a
feio.a
formosura.n
frescura.n
horrendo.a
lindo.a
pitoresco.a
plástico.a
requintar.v
requinte.n
rústico.a
saboroso.a",,"aesthetically.adv
beautiful.a
beauty.n
elegant.a
fair.a
handsome.a
hideous.a
lovely.a
plastic.a
smart.a
tasty.a
ugly.a","Attribute
Degree
Entity","An Entity is judged to be sensually pleasing or intellectually interesting to a (generally implicit) Viewpoint.


We saw this beautiful boat|Ent with the red sails several times
We camped here on the beach and had an absolutely|Deg lovely early morning walk through farm fields",Aesthetics,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/504,ExactMatch,
1367,Affirm_or_deny,,"inegável.a
negar.v
negativo.a
positivar.v
positivo.a
positivo.n
sim.adv","non.adv
oui.adv","affirm.v
affirmation.n
attest.v
concede.v
confirm.v
confirmation.n
denial.n
deny.v
reaffirm.v
refute.v","Medium
Message
Speaker
Topic","A Speaker uses language to affirm or deny the truth of a Message to some Addressee. Instead of (or in addition to) a Speaker, a Medium may also be mentioned. Likewise, a Topic may be stated instead of a Message.

She affirmed her loyalty to the cause.

He denied that he had ever believed in the existence of God.

BBC News|Med confirmed the story about the refugees|Top.",Affirm_or_deny,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/1367,ExactMatch,
491,Age,,"adolescência.n
adulto.a
antigo.a
com.prep
de.prep
idade.n
infância.n
infantil.a
jovem.a
maduro.a
meninice.n
menor.a
novo.a
ter.v
velhice.n
velho.a","archaïque.a
avoir.v
vieux.a","age.n
ancient.a
childhood.n
elderly.a
fresh.a
mature.a
maturity.n
new.a
of.prep
old.a
oldish.a
young.a
youngish.a","Age
Attribute
Degree
Entity
Expressor","An Entity has existed for a length of time, the Age. The Age can be characterized as a value of the age Attribute, or a Degree modifier may express the deviation of the Age from the norm. The Expressor exhibits qualities of the age of the Entity.

This building is twenty thousand years old.

My grandpa is really old

Junior is only five weeks old.

A cunning oldish voice called out from the crowd.

His [age|Attribute] was 23 at the time.

People of [age|Attribute] 55 or older should consult their physician.

I have a 13-year-old cousin

My grandma is old

There are additional patterns that the LUs in this frame occur in which are not licensed by a particular lexical head but by a construction. Additionally, there are patterns that evoke this frame without any overt lexical head that are part of this frame.


She is 45 years of age.
Billy is 13.",Age,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/491,ExactMatch,
94,Aggregate,,"acervo.n
aglomerado.n
amontoado.n
assembléia.n
bancada.n
banda.n
bando.n
batalhão.n
cacho.n
caravana.n
cardume.n
casal.n
círculo social.n
círculo.n
civilização.n
classe.n
coleção.n
colônia.n
combinação.n
combo.n
comunidade.n
conjunto.n
corja.n
corpo.n
corporação.n
dupla.n
enxame.n
equipe.n
escola.n
esquadra.n
esquadrão.n
exército.n
facção.n
família.n
fardo.n
feixe.n
força.n
fornada.n
frota.n
galáxia.n
game.n
gangue.n
gentalha.n
grupo.n
harém.n
horda.n
jogo.n
legião.n
livro.n
maço.n
máfia.n
maioria.n
manada.n
massa.n
matilha.n
monte.n
multidão.n
multiplicidade.n
multiplicidade.n
muvuca.n
ninhada.n
pacote.n
panelinha.n
partido.n
pelotão.n
penca.n
pilha.n
plebe.n
população.n
populacho.n
punhado.n
quarteto.n
quinteto.n
ralé.n
rebanho.n
repertório.n
safra.n
sexteto.n
sortimento.n
time.n
todos.n
tribo.n
trio.n
tripulação.n
tropel.n
turma.n
universo.n
variedade.n","classe.n
ensemble.n
population.n","army.n
assemblage.n
assembly.n
assortment.n
band.n
batch.n
bevy.n
body.n
book.n
brood.n
bunch.n
circle.n
claque.n
class.n
clique.n
clump.n
cluster.n
clutch.n
cohort.n
collection.n
colony.n
combination.n
community.n
corps.n
coterie.n
covey.n
crew.n
crop.n
crowd.n
family.n
flock.n
flotilla.n
force.n
gaggle.n
gang.n
group.n
harem.n
heap.n
herd.n
horde.n
host.n
huddle.n
legion.n
majority.n
mob.n
multiplicity.n
multitude.n
pack.n
package.n
party.n
passel.n
population.n
posse.n
quartet.n
quintet.n
repertoire.n
repertory.n
school.n
set.n
sextet.n
shoal.n
slew.n
squad.n
stand.n
swarm.n
team.n
throng.n
tribe.n
trio.n
variety.n","Aggregate
Individuals","This frame contains nouns denoting Aggregates of Individuals. The Aggregates may be described by an Aggregate_property.

An [army|Agg|Target] of postal workers descended on my office.",Aggregate,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/94,ExactMatch,
857,Aging,,"amadurecer.v
crescer.v
envelhecer.v
envelhecimento.n
envelheimento.n",,"age.v
aging.a
grow up.v
mature.v
raise.v",Entity,"An Entity is undergoing a change in age typically associated with some deterioration or change in state.

This bark ages and turns black.

The U.S. is to upgrade aging missile defense systems with advanced tech.",Aging,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/857,ExactMatch,
741,Agree_or_refuse_to_act,,"recusar.v
resistir.v",,"agree.v
decline.v
refusal.n
refuse.v","Interlocutor
Proposed_action
Speaker","A Speaker either agrees to or refuses to engage in a Proposed_action, proposed by an Interlocutor.

They agreed to express their outrage with editorials in today's paper|pro.

The man's refusal to accept blood|pro severely hampered his treatment after the car accident.",Agree_or_refuse_to_act,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/741,ExactMatch,
