id,frame,lus,fe,definition,связь с BFN,link,MatchEvaluation
708,Absichtliche_Täuschung,"[('belügen', 'V'), ('betrügen', 'V'), ('für dumm verkaufen', 'MWA'), ('irreführen', 'V'), ('täuschen', 'V')]","['Betrüger', 'Opfer', 'Thema']","Ein  FE:BetrügerBetrüger führt eine Handlung durch, sodass das  FE:OpferOpfer eine falsche Vorstellung von einem  FE:ThemaThema erlangt. Die  FE:MittelMittel hierfür können Kommunikation,  Zurückhalten von Informationen oder eine Handlung sein, aus der das  FE:OpferOpfer falsche Schlüsse ziehen wird.",Intentional_deception,https://framenet-constructicon.hhu.de/framenet/frame?id=708,ExactMatch
633,Absichtlich_bewirken,"[('gehen', 'V'), ('machen', 'V')]","['Agens', 'Patiens']","Ein  FE:AgensAgens bewirkt, dass ein  FE:PatiensPatiens beeinflusst wird, manchmal durch ein bestimmtes  FE:MittelMittel oder durch die Verwendung eines  FE:InstrumentInstruments .",Intentionally_affect,https://framenet-constructicon.hhu.de/framenet/frame?id=633,ExactMatch
844,Absichtlich_erschaffen,"[('arbeiten', 'V'), ('aufmachen', 'V'), ('bauen', 'V'), ('drehen', 'V'), ('einrichten', 'V'), ('entwickeln', 'V'), ('erstellen', 'V'), ('eröffnen', 'V'), ('gründen', 'V'), ('nähen', 'V'), ('Vater', 'N')]","['Erschaffender', 'Erschaffenes']","Ein  FE:ErschaffenderErschaffender bringt absichtlich eine neue Entität, das  FE:ErschaffenesErschaffene hervor, möglicherweise aus einzelnen  FE:KomponentenKomponenten.",Intentionally_create,https://framenet-constructicon.hhu.de/framenet/frame?id=844,ExactMatch
479,Absichtlich_handeln,"[('besorgen', 'V'), ('erledigen', 'V'), ('gehen', 'V'), ('handeln', 'V'), ('operieren', 'V'), ('springen', 'V'), ('treiben', 'V'), ('tun', 'V')]","['Agens', 'Handlung']",Dieser Frame beschreibt von einem  FE:AgensAgens intentional ausgeführte Handlungen.,Intentionally_act,https://framenet-constructicon.hhu.de/framenet/frame?id=479,ExactMatch
128,Absuchen,"[('abfahren', 'V'), ('abfliegen', 'V'), ('absuchen', 'V'), ('durchkämmen', 'V'), ('durchstöbern', 'V'), ('durchwühlen', 'V'), ('untersuchen', 'V')]","['Gesuchtes', 'Suchbereich', 'Suchender']","Ein  FE:SuchenderSuchender sucht einen  FE:SuchbereichSuchbereich ab, um ein  FE:GesuchtesGesuchtes zu finden. Das  FE:GesuchtesGesuchte wird nicht als existent vorausgesetzt.",Scouring,https://framenet-constructicon.hhu.de/framenet/frame?id=128,ExactMatch
181,Abtrennen,"[('ablösen', 'V'), ('abtrennen', 'V'), ('befreien', 'V'), ('lösen', 'V'), ('trennen', 'V')]","['Agens', 'Element', 'Elemente', 'Quelle']","Ein  FE:AgensAgens löst eine Verbindung zwischen mehreren Objekten. Das Lösen der Verbindung kann darin bestehen, dass",Detaching,https://framenet-constructicon.hhu.de/framenet/frame?id=181,ExactMatch
505,Abwehren,"[('abwehren', 'V')]","['Feind', 'Invasionsakt', 'Verteidiger']",Ein  FE:VerteidigerVerteidiger wehrt erfolgreich den aggressiven Versuch einer Übernahme durch einen  FE:FeindFeind ab.,Repel,https://framenet-constructicon.hhu.de/framenet/frame?id=505,ExactMatch
1121,Addieren,"[('hinzuaddieren', 'V'), ('kommen', 'V'), ('zusammenzählen', 'V')]","['Ergebnis', 'Kognizierender', 'Zahlen']",Ein  FE:KognizierenderKognizierender berechnet ein  FE:ErgebnisErgebnis auf der Grundlage von vorliegenden  FE:ZahlenZahlen durch Addition.,Adding_up,https://framenet-constructicon.hhu.de/framenet/frame?id=1121,ExactMatch
883,Adjazenz,"[('angrenzen', 'V'), ('angrenzend', 'ADJ'), ('benachbart', 'ADJ'), ('grenzen', 'V'), ('neben', 'PRAEP')]","['Figur', 'Hintergrund']","Eine  FE:FigurEntität grenzt an einen  FE:HintergrundHintergrund.  FE:FigurEntität und  FE:HintergrundHintergrund können entweder einen gemeinsamen Bereich bilden oder jeweils einem Bereich zugeordnet sein, wobei jeder Bereich mit dem anderen Bereich in Kontakt steht.",Adjacency,https://framenet-constructicon.hhu.de/framenet/frame?id=883,ExactMatch
966,Aggregatzustandsänderung,[],['Patiens'],"In diesem Frame ändert ein  FE:PatiensPatiens den Aggregatzustand. Man beachte, dass dieser Frame sich vom Frame Konsistenzänderung (FN: Change_of_consistency) unterscheidet, da dieser Frame einen Wechsel eines  FE:PatiensPatiens zwischen verschiedenen Aggegatzuständen beschreibt (d.h.etwa von fest zu flüssig oder von gefroren zu ungefroren).",Change_of_phase,https://framenet-constructicon.hhu.de/framenet/frame?id=966,ExactMatch
132,Aggregatzustandsänderung_Szenario,[],['Patiens'],"Die Abfolge der Ereignisse, in denen das  FE:PatiensPatiens in einem Aggregatszustand beginnt und in einem anderen endet.",Change_of_phase_scenario,https://framenet-constructicon.hhu.de/framenet/frame?id=132,ExactMatch
965,Aggregatzustandsänderung_verursachen,"[('lösen', 'V')]","['Agens', 'Substanz', 'Ursache']","Eine  FE:UrsacheUrsache oder ein  FE:AgensAgens bewirkt, dass sich der Aggregatzustand einer  FE:SubstanzSubstanz verändert. Das  FE:ErgebnisErgebnis der Änderung kann angegeben werden sowie der  FE:AnfangszustandAnfangszustand und die  FE:UmständeUmstände, unter denen die Änderung sich vollzieht.",Cause_change_of_phase,https://framenet-constructicon.hhu.de/framenet/frame?id=965,ExactMatch
791,Aktienkapital,[],"['Aktien', 'Aktionär', 'Emittent', 'Typ']","Dieser Frame betrifft  FE:AktienAktien, ein kauf- und verkaufsfähiger Vermögenswert, der den Anteil eines  FE:AktionärAktionärs an einem Unternehmen (dem  FE:EmittentEmittenten) darstellt. Die  FE:AktienAktien berechtigen den  FE:AktionärAktionär, am  FE:EmittentEmittenten so zu profitieren, wie vom Vorstand des  FE:EmittentEmittenten bestimmt. LE in diesem Frame können die Art der Kapitalanlage in ein Unternehmen (Stamm- oder Vorzugsaktien) oder die Investition selbst bezeichnen. Stammaktien werden auch als stimmberechtigte Aktien bezeichnet.",Capital_stock,https://framenet-constructicon.hhu.de/framenet/frame?id=791,ExactMatch
119,Aktivität,[],['Agens'],"Dies ist ein abstrakter Frame für durative Handlungen, bei denen ein  FE:AgensAgens in einen laufenden Zustand der  FE:AktivitätAktivität übergeht, für einige Zeit in diesem Zustand bleibt und diesen Zustand entweder durch Beenden oder durch Anhalten verlässt. Die Aktivität des  FE:AgensAgens sollte absichtlich sein. Dieser Frame ist hauptsächlich für die Vererbung gängiger Frame-Elemente und zur Bereitstellung der Framestruktur für die Anfangs-, End-, oder Stoppphase einer  FE:AktivitätAktivität bestimmt, die jeweils einen Teilframe dieses Frames bilden. Dieser Frame sollte mit dem Frame Prozess verglichen werden.",Activity,https://framenet-constructicon.hhu.de/framenet/frame?id=119,ExactMatch
344,Aktivitätsbereitschaft,"[('bereit', 'ADJ')]","['Aktivität', 'Protagonist', 'Saliente_Entität']","Ein  FE:ProtagonistProtagonist ist in einem Zustand der Bereitschaft, bevor er beginnt, sich an einer  FE:AktivitätAktivität zu beteiligen. Alle Voraussetzungen für die Durchführung der  FE:AktivitätAktivität sind erfüllt. In vielen Fällen ist der  FE:ProtagonistProtagonist ein intentional handelndes Agens, in anderen Fällen ist das Agens deprofiliert und der  FE:ProtagonistProtagonist ist eine Entität, die für die  FE:AktivitätAktivität wesentlich ist. Alternativ kann die  FE:AktivitätAktivität durch eine  FE:Saliente_EntitätSaliente_Entität angezeigt werden, die für die  FE:AktivitätAktivität steht. Die  FE:Saliente_EntitätSaliente_Entität kann es ein intentional handelndes Agens sein, oder eine andere Art von Entität.",Activity_ready_state,https://framenet-constructicon.hhu.de/framenet/frame?id=344,ExactMatch
315,Aktivitätsende,"[('abschließen', 'V'), ('Absolvierung', 'N'), ('aufhören', 'V'), ('beenden', 'V'), ('beschließen', 'V'), ('enden', 'V')]","['Agens', 'Aktivität']","Ein  FE:AgensAgens beendet eine  FE:AktivitätAktivität, die nicht mehr logisch fortgesetzt werden kann. Dieser Frame ist ein Sub-Frame von  FE:AktivitätAktivität.",Activity_finish,https://framenet-constructicon.hhu.de/framenet/frame?id=315,ExactMatch
328,Aktivitätspause,"[('pausieren', 'V'), ('stoppen', 'V')]","['Agens', 'Aktivität']",Ein  FE:AgensAgens pausiert während einer  FE:AktivitätAktivität.,Activity_pause,https://framenet-constructicon.hhu.de/framenet/frame?id=328,ExactMatch
198,Aktivitätsstart,"[('anfangen', 'V'), ('anfassen', 'V'), ('aufmachen', 'V'), ('ausgehen', 'V'), ('beginnen', 'V'), ('gehen (an)', 'V'), ('gehen an, es', 'V'), ('kommen', 'V'), ('starten', 'V'), ('treten', 'V'), ('öffnen', 'V')]","['Agens', 'Aktivität']","Ein  FE:AgensAgens initiiert den Beginn einer laufenden  FE:AktivitätAktivität, an der es kontinuierlich beteiligt ist.",Activity_start,https://framenet-constructicon.hhu.de/framenet/frame?id=198,ExactMatch
325,Aktivitätsstopp,"[('aufgeben', 'V'), ('aufhören', 'V'), ('beenden', 'V'), ('einstellen', 'V'), ('lassen', 'V'), ('stoppen', 'V')]","['Agens', 'Aktivität']","Ein  FE:AgensAgens beendet eine  FE:AktivitätAktivität, ohne sie abzuschließen.",Activity_stop,https://framenet-constructicon.hhu.de/framenet/frame?id=325,ExactMatch
347,Aktivitätsvorbereitung,"[('einstellen', 'V'), ('vorbereiten', 'V')]","['Agens', 'Aktivität']",Ein  FE:AgensAgens bereitet sich selbst oder einen  FE:BegünstigterBegünstigten auf eine  FE:AktivitätAktivität vor.,Activity_prepare,https://framenet-constructicon.hhu.de/framenet/frame?id=347,ExactMatch
73,Aktivitätswiederaufnahme,"[('fortsetzen', 'V')]","['Agens', 'Aktivität']",Ein  FE:AgensAgens nimmt die Teilnahme an einer  FE:AktivitätAktivität wieder auf. Der Fortschritt der  FE:AktivitätAktivität wird ab dem Zeitpunkt vor der Unterbrechung beibehalten.,Activity_resume,https://framenet-constructicon.hhu.de/framenet/frame?id=73,ExactMatch
333,Aktivität_abgebrochener_Zustand,[],"['Agens', 'Aktivität']",Ein  FE:AgensAgens bildet einen unvollendeten Teil einer Aktivität.,Activity_abandoned_state,https://framenet-constructicon.hhu.de/framenet/frame?id=333,ExactMatch
396,Aktivität_abgeschlossener_Zustand,"[('fertig', 'ADJ'), ('fertigstellen', 'V')]","['Agens', 'Aktivität']",Ein  FE:AgensAgens hat eine  FE:AktivitätAktivität abgeschlossen.,Activity_done_state,https://framenet-constructicon.hhu.de/framenet/frame?id=396,ExactMatch
389,Aktivität_pausierter_Zustand,[],"['Agens', 'Aktivität']","Ein  FE:AgensAgens bleibt in einem bestimmten Stadium einer  FE:AktivitätAktivität, ohne in der Aktivität voranzukommen.",Activity_paused_state,https://framenet-constructicon.hhu.de/framenet/frame?id=389,ExactMatch
310,Aktivität_weiterverfolgen,"[('bleiben', 'V'), ('fortsetzen', 'V')]","['Agens', 'Aktivität', 'Dauer']","Ein  FE:AgensAgens führt einen Teil einer  FE:AktivitätAktivität aus, in der eine dynamische Stabilität vorliegt.",Activity_ongoing,https://framenet-constructicon.hhu.de/framenet/frame?id=310,ExactMatch
240,Aktiv_sein,"[('aktiv', 'ADJ'), ('inaktiv', 'ADJ'), ('machen', 'V'), ('treiben', 'V'), ('tätig', 'ADJ')]","['Agens', 'Aktivität', 'Rolle', 'Saliente_Entität']","Ein  FE:AgensAgens geht einer  FE:AktivitätAktivität nach, die einen gewissen Aufwand erfordert. Das  FE:AgensAgens kann in einer bestimmten  FE:RolleRolle aktiv sein. Alternativ kann die  FE:AktivitätAktivität selbst auch beschrieben werden als Handung, die von  einem  FE:AgensAgens ausgeführt wird. In einigen Fällen kann die Aktivität eine  FE:Saliente_EntitätSaliente_Entität beinhalten, die an ihrer Stelle stehen kann.",Being_active,https://framenet-constructicon.hhu.de/framenet/frame?id=240,ExactMatch
824,Alarmiert_sein,"[('achtgeben', 'V'), ('auf der Hut sein', 'MWA'), ('in Alarmbereitschaft sein', 'MWA')]","['Aktivität', 'Gefahr', 'Gefährliche_Entität', 'Protagonist']","Ein  FE:ProtagonistProtagonist ist auf eine mögliche  FE:GefahrGefahr (ein gefährliches Ereignis oder eine gefährliche Entität, die an einem für den Protagonisten schädlichen Ereignis teilnehmen könnte) aufmerksam geworden und ist bereit, als Reaktion auf diese  FE:GefahrGefahr eine  FE:AktivitätAktivität  durchzuführen.",Be_on_alert,https://framenet-constructicon.hhu.de/framenet/frame?id=824,ExactMatch
262,Allianz,"[('Allianz', 'N'), ('Bündnis', 'N'), ('Koalition', 'N')]","['Allianz', 'Mitglied_1', 'Mitglied_2', 'Mitglieder']","Nachdem sie einige Zeit getrennt gearbeitet haben, sind nun zwei oder mehrere organisatorische oder einzelne  FE:MitgliederMitglieder einer  FE:AllianzAllianz zugeordnet, damit sie besser einen gemeinsamen  FE:ZweckZweck verfolgen können. Die bisher getrennten  FE:MitgliederMitglieder können separat als  FE:Mitglied_1Mitglied_1 und  FE:Mitglied_2Mitglied_2 dargestellt werden.",Alliance,https://framenet-constructicon.hhu.de/framenet/frame?id=262,ExactMatch
1859,Allianzen_als_Freundschaften,"[('Freundschaft', 'N')]","['Mitglied_1_als_Partner_1', 'Mitglied_2_als_Partner_2', 'Mitglieder_als_Partner']",Ein (meist politisches) Bündnis zwischen zwei oder mehreren  FE:Mitglieder_als_PartnerMitgliedern_als_Partner wird als Freundschaft begriffen ( FE:Allianz_als_BeziehungAllianz_als_Beziehung).,,https://framenet-constructicon.hhu.de/framenet/frame?id=1859,
363,Als_Fassade_dienen,"[('Fassade', 'N')]","['Fassade', 'Illegale_Aktivität', 'Illegale_Organisation']","Eine Person oder Organisation, die  FE:FassadeFassade, dient als Tarnung für eine  FE:Illegale_AktivitätIllegale_Aktivität oder eine  FE:Illegale_OrganisationIllegale_Organisation.",Front_for,https://framenet-constructicon.hhu.de/framenet/frame?id=363,ExactMatch
1212,Alter,"[('alt', 'ADJ'), ('Alter', 'N')]","['Alter', 'Attribut', 'Entität', 'Expressor', 'Grad']","Eine  FE:EntitätEntität existiert seit einer gewissen Zeit, dem  FE:AlterAlter. Das  FE:AlterAlter kann als Wert des Alter- FE:AttributAttributs charakterisiert werden, oder ein  FE:GradGrad-Modifikator kann die Abweichung des  FE:AlterAlters von der Norm ausdrücken. Der  FE:ExpressorExpressor zeigt Eigenschaften des Alters der  FE:EntitätEntität.",Age,https://framenet-constructicon.hhu.de/framenet/frame?id=1212,ExactMatch
447,Altern,"[('altern', 'V'), ('alternd', 'ADJ')]",['Entität'],"Eine  FE:EntitätEntität ist einem Alterungsprozess unterworfen, der typischerweise mit einer Verschlechterung oder Zustandsänderung verbunden ist.",Aging,https://framenet-constructicon.hhu.de/framenet/frame?id=447,ExactMatch
459,Alternativen,[],"['Agens', 'Saliente_Entität', 'Situation']","Es gibt eine Reihe von verschiedenen möglichen  FE:SituationSituationen, die in der Zukunft auftreten können. (In einigen Fällen ist die  FE:SituationSituation gegenwärtig oder vergangen, und nur das Wissen über das, was geschehen ist, liegt in der Zukunft.) In den meisten Fällen ist ein  FE:AgensAgens involviert, das prüfen muss, welche der möglichen  FE:SituationSituationen eintreten werden oder sollten. Eine  FE:Saliente_EntitätSaliente_Entität, die stark in die  FE:SituationSituation verwickelt ist, kann ebenfalls erwähnt werden.",Alternatives,https://framenet-constructicon.hhu.de/framenet/frame?id=459,ExactMatch
905,Alternativität,[],"['Kontrastive_Alternative', 'Profilierte_Alternative']","Ein Sprecher möchte sich in erster Linie auf  eine  FE:Profilierte_AlternativeProfilierte_Alternative konzentrieren, die sich mit einer  FE:Kontrastive_AlternativeKontrastiven_Alternative ausschließt. Es ist nicht möglich, dass beide Alternativen im gleichen Kontext mit denselben Teilnehmern wahr sind, obwohl die beschriebene Situation für dieselben Entitäten zu verschiedenen Zeiten oder für verschiedene Entitäten zur gleichen Zeit gelten kann.",Alternativity,https://framenet-constructicon.hhu.de/framenet/frame?id=905,ExactMatch
1161,Amalgamierung,"[('bilden', 'V'), ('kommen', 'V'), ('lösen', 'V')]","['Ganzes', 'Teil_1', 'Teil_2', 'Teile']","Dieser Frame beschreibt, wie  FE:TeileTeile sich zu einem  FE:GanzesGanzen zusammenschließen.",Amalgamation,https://framenet-constructicon.hhu.de/framenet/frame?id=1161,ExactMatch
604,Anbieten,[],"['Anbietender', 'Angebotenes', 'Potenzieller_Empfänger']","Ein  FE:AnbietenderAnbieter zeigt an, dass er oder sie in der Lage und bereit ist, einem   FE:Potenzieller_EmpfängerPotenziellen_Empfänger ein  FE:AngebotenesObjekt zu geben. In Ermangelung weiterer Einschränkungen wird oft verstanden, dass der  FE:Potenzieller_EmpfängerPotentielle_Empfänger das  FE:AngebotenesObjekt akzeptiert.",Offering,https://framenet-constructicon.hhu.de/framenet/frame?id=604,ExactMatch
86,Anbieter_ändern,"[('umsteigen', 'V'), ('Wechsel', 'N')]","['Agens', 'Alter_Anbieter', 'Anbieter', 'Neuer_Anbieter']","Ein  FE:AgensAgens wechselt den  FE:AnbieterAnbieter, von einem  FE:Alter_AnbieterAlten_Anbieter zu einem  FE:Neuer_AnbieterNeuen_Anbieter. Die  FE:AnbieterAnbieter können Fahrzeuge, Dienstleister oder prototypischere Geräte beinhalten.",Change_tool,https://framenet-constructicon.hhu.de/framenet/frame?id=86,ExactMatch
1986,Anführer_einer_Gruppe_als_Kopf,"[('Kopf', 'N')]","['Aktivität', 'Angeführte_als_Besitzer', 'Führungsperson_als_Körperteil', 'Rolle']",Eine Gruppe (die  FE:Angeführte_als_BesitzerAngeführten_als_Besitzer) wird von einer als physischer Kopf konzeptualisierten Person (der  FE:Führungsperson_als_KörperteilFührungsperson_als_Körperteil) angeführt und angeleitet. Die Gruppe tritt demnach als Besitzer des Kopfes in Erscheinung.,,https://framenet-constructicon.hhu.de/framenet/frame?id=1986,
935,Angebracht_werden,"[('befestigen', 'V'), ('hängen', 'V'), ('verbinden', 'V')]","['Element', 'Elemente', 'Verbindungselement', 'Ziel']","Ein  FE:ElementElement wird an einem  FE:ZielZiel befestigt, wobei ein  FE:VerbindungselementVerbindungselement eine Verbindung zwischen dem  FE:GriffGriff des  FE:ElementElements und dem  FE:ZielZiel (oder einem Teil davon) bildet. Alternativ können mehrere  FE:ElementeElemente eine Verbindung untereinander eingehen.",Becoming_attached,https://framenet-constructicon.hhu.de/framenet/frame?id=935,ExactMatch
500,Angleichung_Bildschema,[],"['Hintergrund', 'Nicht_übereinstimmende_Ausrichtung', 'Übereinstimmende_Ausrichtung']","Ein Bereich, die  FE:Übereinstimmende_AusrichtungÜbereinstimmende_Ausrichtung (in der Skizze A), hat die gleiche Ausrichtung wie der relativ lineare  FE:HintergrundHintergrund (B). Der Bereich  FE:Nicht_übereinstimmende_AusrichtungNicht_übereinstimmende_Ausrichtung (C) steht senkrecht zum  FE:HintergrundHintergrund .",Alignment_image_schema,https://framenet-constructicon.hhu.de/framenet/frame?id=500,ExactMatch
1059,Angriff,"[('anfallen', 'V'), ('angehen', 'V'), ('angreifen', 'V'), ('Angriff', 'N'), ('herfallen', 'V'), ('losfahren (auf)', 'V'), ('losschlagen', 'V'), ('zusammenschlagen', 'V'), ('überfallen', 'V')]","['Angreifer', 'Opfer']","Ein  FE:AngreiferAngreifer greift - ggf. mit einer  FE:WaffeWaffe - ein  FE:OpferOpfer (das normalerweise, aber nicht immer empfinden kann) physisch an und verursacht oder beabsichtigt den physischen Schaden des  FE:OpferOpfers. Für den  FE:AngreiferAngreifer oder das  FE:OpferOpfer kann metonymisch auch ein  FE:OrtOrt stehen.",Attack,https://framenet-constructicon.hhu.de/framenet/frame?id=1059,ExactMatch
522,Angst,"[('Angst', 'N'), ('fürchten', 'V'), ('zurückfahren', 'V')]","['Erfahrender', 'Expressor', 'Stimulus', 'Thema', 'Zustand']",Ein  FE:ErfahrenderErfahrender fühlt eine Emotion der Angst in Bezug auf ein  FE:ThemaThema oder hervorgerufen durch einen  FE:StimulusStimulus.,Fear,https://framenet-constructicon.hhu.de/framenet/frame?id=522,ExactMatch
207,Anhäufen,"[('anhäufen', 'V'), ('konzentrieren', 'V'), ('zusammenkommen', 'V')]","['Empfänger', 'Massenobjekt']",Ein  FE:EmpfängerEmpfänger gelangt - durch eigenes Zutun oder nicht - in den Besitz eines  FE:MassenobjektMassenobjekts.,Amassing,https://framenet-constructicon.hhu.de/framenet/frame?id=207,ExactMatch
107,Anklage,"[('Anklage', 'N'), ('anklagen', 'V')]","['Angeklagter', 'Anklage', 'Beurteilender']",Achtung: Dieser Frame bezieht sich auf das US-Rechtssystem. Er muss noch überarbeitet und an das deutsche Justizsystem angepasst werden!,Arraignment,https://framenet-constructicon.hhu.de/framenet/frame?id=107,ExactMatch
133,Anklage_bekanntgeben,[],"['Angeklagter', 'Anklage', 'Anklagebehörde']",Achtung: Dieser Frame bezieht sich auf das US-Rechtssystem. Er muss noch überarbeitet und an das deutsche Justizsystem angepasst werden!,Notification_of_charges,https://framenet-constructicon.hhu.de/framenet/frame?id=133,ExactMatch
1104,Ankommen,"[('anfahren', 'V'), ('ankommen', 'V'), ('eintreffen', 'V'), ('einziehen', 'V'), ('erreichen', 'V'), ('finden', 'V'), ('gewinnen', 'V'), ('hereinkommen', 'V'), ('kommen', 'V'), ('zurückkehren', 'V')]","['Objekt', 'Ziel']","Ein  FE:ObjektObjekt kommt an einem  FE:ZielZiel an. Das  FE:ZielZiel kann realisiert oder aus dem Kontext heraus verstanden werden, aber es wird immer durch das Verb impliziert.",Arriving,https://framenet-constructicon.hhu.de/framenet/frame?id=1104,ExactMatch
26,Ankündigen,[],"['Ereignis', 'Kommunizierender', 'Medium', 'Person']","Ein  FE:KommunizierenderKommunikator kündigt (sprachlich oder nicht-sprachlich) die bevorstehende Ankunft eines  FE:PersonIndividuums oder das Auftreten eines  FE:EreignisEreignisses an. Im Allgemeinen versucht der  FE:KommunizierenderKommunikator, die Öffentlichkeit zu informieren.",Heralding,https://framenet-constructicon.hhu.de/framenet/frame?id=26,ExactMatch
